epoch seconds,bitstamp,bitfinex,okcoin,huobi,coinapult
1547607882,3665.0,3588.01,null,null,3665.05
1547607887,3665.0,3588.01,null,null,3665.05
1547607893,3665.0,3588.01,null,null,3665.05
1547607899,3665.0,3588.01,null,null,3665.05
1547607904,3665.0,3588.01,null,null,3665.05
1547607910,3665.0,3588.01,null,null,3665.05
1547607916,3665.0,3588.01,null,null,3665.05
1547607922,3665.0,3588.53,null,null,3665.05
1547607928,3666.0,3588.53,null,null,3665.35
1547607934,3666.0,3588.53,null,null,3665.35
1547607939,3666.0,3588.53,null,null,3665.65
1547607946,3666.0,3588.53,null,null,3665.65
1547607951,3666.0,3589.27,null,null,3665.75
1547607957,3665.6,3589.43,null,null,3665.75
1547607963,3665.7,3589.47,null,null,3665.75
1547607969,3665.7,3589.47,null,null,3665.75
1547607975,3665.7,3589.47,null,null,3665.75
1547607980,3665.7,3589.47,null,null,3665.75
1547607986,3665.7,3589.47,null,null,3665.75
1547607992,3665.8,3589.47,null,null,3666.05
1547607998,3665.8,3589.47,null,null,3666.05
1547608004,3665.8,3589.47,null,null,3666.05
1547608009,3665.8,3589.47,null,null,3666.05
1547608015,3665.8,3589.47,null,null,3666.05
1547608021,3666.0,3589.47,null,null,3666.05
1547608027,3666.0,3589.47,null,null,3666.25
1547608033,3666.0,3590.04,null,null,3666.25
1547608038,3666.0,3589.27,null,null,3666.05
1547608044,3666.0,3589.27,null,null,3666.05
1547608050,3666.0,3589.27,null,null,3666.05
1547608056,3667.3,3589.27,null,null,3667.15
1547608062,3667.3,3589.27,null,null,3667.15
1547608068,3667.2,3589.27,null,null,3667.15
1547608073,3667.2,3589.27,null,null,3667.15
1547608079,3667.2,3589.27,null,null,3667.15
1547608085,3667.2,3589.27,null,null,3667.15
1547608091,3667.2,3589.27,null,null,3667.15
1547608097,3667.2,3589.27,null,null,3667.15
1547608102,3667.2,3589.27,null,null,3667.15
1547608108,3667.1,3589.27,null,null,3667.15
1547608114,3667.1,3589.27,null,null,3667.15
1547608120,3667.1,3589.27,null,null,3667.15
1547608125,3667.1,3589.27,null,null,3667.15
1547608132,3667.1,3589.27,null,null,3667.15
1547608138,3667.1,3589.27,null,null,3667.15
1547608143,3667.1,3589.27,null,null,3667.15
1547608149,3667.1,3589.27,null,null,3667.15
1547608155,3667.1,3589.27,null,null,3667.15
1547608161,3667.1,3589.27,null,null,3667.15
1547608167,3667.1,3589.27,null,null,3667.15
1547608173,3667.1,3589.27,null,null,3667.15
1547608179,3667.1,3589.27,null,null,3667.15
1547608185,3667.1,3589.27,null,null,3667.15
1547608191,3667.1,3589.27,null,null,3667.15
1547608196,3667.1,3589.27,null,null,3667.15
1547608202,3667.1,3589.27,null,null,3667.15
1547608208,3667.1,3589.27,null,null,3667.15
1547608213,3667.2,3590.00,null,null,3667.15
1547608219,3667.1,3590.00,null,null,3667.5
1547608225,3667.2,3590.00,null,null,3667.5
1547608231,3667.2,3590.00,null,null,3667.5
1547608236,3667.2,3590.00,null,null,3667.5
1547608242,3667.2,3590.00,null,null,3667.25
1547608248,3667.2,3590.00,null,null,3667.25
1547608254,3667.60707885,3590.00,null,null,3667.65
1547608259,3667.60707885,3590.00,null,null,3667.65
1547608265,3667.60707885,3590.00,null,null,3667.65
1547608271,3667.7,3587.60,null,null,3667.65
1547608277,3667.7,3589.58,null,null,3667.65
1547608283,3667.7,3589.58,null,null,3667.75
1547608289,3667.7,3589.58,null,null,3667.75
1547608295,3667.8,3589.58,null,null,3667.75
1547608300,3667.8,3589.58,null,null,3667.85
1547608307,3667.8,3589.58,null,null,3667.85
1547608313,3667.8,3589.58,null,null,3667.85
1547608319,3667.9,3589.58,null,null,3667.85
1547608325,3667.9,3589.58,null,null,3667.85
1547608330,3667.8,3590.00,null,null,3667.85
1547608337,3667.8,3590.00,null,null,3667.85
1547608343,3667.8,3590.00,null,null,3667.85
1547608348,3667.9,3590.00,null,null,3667.85
1547608355,3667.9,3590.00,null,null,3667.85
1547608361,3667.9,3590.00,null,null,3667.85
1547608367,3667.9,3590.00,null,null,3667.85
1547608372,3667.9,3590.00,null,null,3668.65
1547608378,3667.9,3590.00,null,null,3668.65
1547608384,3667.9,3590.00,null,null,3668.65
1547608390,3668.63298293,3590.00,null,null,3668.65
1547608395,3668.63298293,3590.00,null,null,3668.65
1547608401,3668.63298293,3590.00,null,null,3668.65
1547608407,3668.63298293,3590.00,null,null,3668.65
1547608413,3668.63298293,3590.00,null,null,3668.65
1547608418,3668.63298293,3590.00,null,null,3668.65
1547608424,3668.63298293,3590.00,null,null,3670.05
1547608430,3670.00085503,3590.00,null,null,3670.05
1547608436,3670.00085503,3590.00,null,null,3670.05
1547608442,3670.00085503,3590.00,null,null,3670.05
1547608448,3670.1,3590.00,null,null,3670.05
1547608454,3670.1,3590.00,null,null,3670.05
1547608459,3670.1,3590.00,null,null,3670.05
1547608465,3670.1,3590.33,null,null,3670.05
1547608471,3670.00085503,3591.55,null,null,3670.05
1547608477,3670.00085503,3591.55,null,null,3670.05
1547608482,3670.00085503,3591.55,null,null,3670.05
1547608488,3670.1,3591.55,null,null,3670.05
1547608494,3670.1,3591.55,null,null,3670.05
1547608500,3670.1,3591.55,null,null,3670.05
1547608506,3670.1,3591.55,null,null,3670.05
1547608511,3670.1,3591.55,null,null,3670.05
1547608517,3670.1,3591.55,null,null,3670.05
1547608523,3670.0,3591.55,null,null,3670.05
1547608529,3670.0,3591.55,null,null,3670.05
1547608534,3670.0,3591.55,null,null,3670.05
1547608540,3670.00085503,3590.04,null,null,3670.05
1547608546,3670.00085503,3590.04,null,null,3670.05
1547608552,3670.00085503,3590.04,null,null,3670.05
1547608559,3670.00085503,3590.04,null,null,3670.05
1547608565,3670.00085503,3590.04,null,null,3670.05
1547608571,3670.00085503,3590.04,null,null,3670.05
1547608578,3670.00085503,3590.04,null,null,3670.05
1547608584,3670.00085503,3590.04,null,null,3670.05
1547608590,3670.00085503,3590.04,null,null,3670.05
1547608596,3670.00085503,3591.55,null,null,3670.05
1547608602,3670.00085503,3591.55,null,null,3670.05
1547608608,3670.00085503,3591.66,null,null,3670.05
1547608613,3670.00085503,3591.66,null,null,3670.05
1547608621,3670.00085503,3590.66,null,null,3670.05
1547608627,3670.0,3591.72,null,null,3670.05
1547608726,3670.0,3591.39,null,null,3670.05
1547608733,3670.0,3591.39,null,null,3670.05
1547608739,3670.0,3591.39,null,null,3670.05
1547608745,3670.0,3591.39,null,null,3670.05
1547608750,3670.0,3591.39,null,null,3670.05
1547608756,3670.0,3591.39,null,null,3670.05
1547608762,3670.0,3591.39,null,null,3670.05
1547610182,3670.0,3590.02,null,null,3670.05
1547610188,3670.0,3590.02,null,null,3670.05
1547610194,3670.0,3590.02,null,null,3670.05
1547610200,3670.0,3590.56,null,null,3670.05
1547610207,3670.0,3590.56,null,null,3670.05
1547610215,3670.0,3590.57,null,null,3670.05
1547610221,3670.0,3590.57,null,null,3670.05
